Alex Rodriguez,NYA,3B,29000000,10 (2008-17),275000000,27500000
Cliff Lee,PHI,P,25000000,5 (2011-15),120000000,24000000
Johan Santana,NYN,P,24644708,6 (2008-13),137500000,22916667
Mark Teixeira,NYA,1B,23125000,8 (2009-16),180000000,22500000
Prince Fielder,DET,1B,23000000,9 (2012-20),214000000,23777778
Joe Mauer,MIN,C,23000000,8 (2011-18),184000000,23000000
CC Sabathia,NYA,P,23000000,5 (2012-16),122000000,24400000
Tim Lincecum,SFN,P,22250000,2 (2012-13),40500000,20250000
Adrian Gonzalez,LAN,1B,21000000,7 (2012-18),154000000,22000000
Miguel Cabrera,DET,3B,21000000,8 (2008-15),152300000,19037500
Vernon Wells,NYA,OF,21000000,7 (2008-14),126000000,18000000
Matt Cain,SFN,P,20833333,6 (2012-17),127500000,21250000
Cole Hamels,PHI,P,20500000,6 (2013-18),144000000,24000000
Matt Kemp,LAN,OF,20250000,8 (2012-19),160000000,20000000
Justin Verlander,DET,P,20100000,5 (2010-14),80000000,16000000
Carl Crawford,LAN,OF,20000000,7 (2011-17),142000000,20285714
Barry Zito,SFN,P,20000000,7 (2007-13),126000000,18000000
Ryan Howard,PHI,1B,20000000,5 (2012-16),125000000,25000000
Roy Halladay,PHI,P,20000000,3 (2011-13),60000000,20000000
Felix Hernandez,SEA,P,19857143,7 (2013-19),175000000,25000000
Alfonso Soriano,CHN,OF,19000000,8 (2007-14),136000000,17000000
Josh Hamilton,ANA,OF,17400000,5 (2013-17),125000000,25000000
Joey Votto,CIN,1B,17000000,3 (2011-13),38000000,12666667
Derek Jeter,NYA,SS,16729365,3 (2011-13),51000000,17000000
Jayson Werth,WSH,OF,16571429,7 (2011-17),126000000,18000000
A.J. Burnett,PIT,P,16500000,5 (2009-13),82500000,16500000
Bronson Arroyo,CIN,P,16445533,3 (2011-13),35000000,11666667
Matt Holliday,SLN,OF,16272110,7 (2010-16),120000000,17142857
Jered Weaver,ANA,P,16200000,5 (2012-16),85000000,17000000
Jake Peavy,CWS,P,16157271,2 (2013-14),29000000,14500000
